1,50:00:00:00:00:00,18:00:00:00:00:00
2,50:00:00:00:00:01,18:00:00:00:00:01
3,50:00:00:00:00:02,18:00:00:00:00:02
4,50:00:00:00:00:03,18:00:00:00:00:03
5,50:00:00:00:00:04,18:00:00:00:00:04
6,50:00:00:00:00:05,18:00:00:00:00:05
7,50:00:00:00:00:06,18:00:00:00:00:06
8,50:00:00:00:00:07,18:00:00:00:00:07
9,50:00:00:00:00:08,18:00:00:00:00:08
10,50:00:00:00:00:09,18:00:00:00:00:09
11,50:00:00:00:00:0a,18:00:00:00:00:0a
12,50:00:00:00:00:0b,18:00:00:00:00:0b
13,50:00:00:00:00:0c,18:00:00:00:00:0c
14,50:00:00:00:00:0d,18:00:00:00:00:0d
15,50:00:00:00:00:0e,18:00:00:00:00:0e
16,50:00:00:00:00:0f,18:00:00:00:00:0f
17,50:00:00:00:00:10,18:00:00:00:00:10
18,50:00:00:00:00:11,18:00:00:00:00:11
19,50:00:00:00:00:12,18:00:00:00:00:12
20,50:00:00:00:00:13,18:00:00:00:00:13
21,50:00:00:00:00:14,18:00:00:00:00:14
22,50:00:00:00:00:15,18:00:00:00:00:15
23,50:00:00:00:00:16,18:00:00:00:00:16
24,50:00:00:00:00:17,18:00:00:00:00:17
25,50:00:00:00:00:18,18:00:00:00:00:18
26,50:00:00:00:00:19,18:00:00:00:00:19
27,50:00:00:00:00:1a,18:00:00:00:00:1a
28,50:00:00:00:00:1b,18:00:00:00:00:1b
29,50:00:00:00:00:1c,18:00:00:00:00:1c
30,50:00:00:00:00:1d,18:00:00:00:00:1d
31,50:00:00:00:00:1e,18:00:00:00:00:1e
32,50:00:00:00:00:1f,18:00:00:00:00:1f
33,50:00:00:00:00:20,18:00:00:00:00:20
34,50:00:00:00:00:21,18:00:00:00:00:21
35,50:00:00:00:00:22,18:00:00:00:00:22
36,50:00:00:00:00:23,18:00:00:00:00:23
37,50:00:00:00:00:24,18:00:00:00:00:24
38,50:00:00:00:00:25,18:00:00:00:00:25
39,50:00:00:00:00:26,18:00:00:00:00:26
40,50:00:00:00:00:27,18:00:00:00:00:27
41,50:00:00:00:00:28,18:00:00:00:00:28
42,50:00:00:00:00:29,18:00:00:00:00:29
43,50:00:00:00:00:2a,18:00:00:00:00:2a
44,50:00:00:00:00:2b,18:00:00:00:00:2b
45,50:00:00:00:00:2c,18:00:00:00:00:2c
46,50:00:00:00:00:2d,18:00:00:00:00:2d
47,50:00:00:00:00:2e,18:00:00:00:00:2e
48,50:00:00:00:00:2f,18:00:00:00:00:2f
49,50:00:00:00:00:30,18:00:00:00:00:30
50,50:00:00:00:00:31,18:00:00:00:00:31
51,50:00:00:00:00:32,18:00:00:00:00:32
52,50:00:00:00:00:33,18:00:00:00:00:33
53,50:00:00:00:00:34,18:00:00:00:00:34
54,50:00:00:00:00:35,18:00:00:00:00:35
55,50:00:00:00:00:36,18:00:00:00:00:36
56,50:00:00:00:00:37,18:00:00:00:00:37
57,50:00:00:00:00:38,18:00:00:00:00:38
58,50:00:00:00:00:39,18:00:00:00:00:39
59,50:00:00:00:00:3a,18:00:00:00:00:3a
60,50:00:00:00:00:3b,18:00:00:00:00:3b
61,50:00:00:00:00:3c,18:00:00:00:00:3c
62,50:00:00:00:00:3d,18:00:00:00:00:3d
63,50:00:00:00:00:3e,18:00:00:00:00:3e
64,50:00:00:00:00:3f,18:00:00:00:00:3f
65,50:00:00:00:00:40,18:00:00:00:00:40
66,50:00:00:00:00:41,18:00:00:00:00:41
67,50:00:00:00:00:42,18:00:00:00:00:42
68,50:00:00:00:00:43,18:00:00:00:00:43
69,50:00:00:00:00:44,18:00:00:00:00:44
70,50:00:00:00:00:45,18:00:00:00:00:45
71,50:00:00:00:00:46,18:00:00:00:00:46
72,50:00:00:00:00:47,18:00:00:00:00:47
73,50:00:00:00:00:48,18:00:00:00:00:48
74,50:00:00:00:00:49,18:00:00:00:00:49
75,50:00:00:00:00:4a,18:00:00:00:00:4a
76,50:00:00:00:00:4b,18:00:00:00:00:4b
77,50:00:00:00:00:4c,18:00:00:00:00:4c
78,50:00:00:00:00:4d,18:00:00:00:00:4d
79,50:00:00:00:00:4e,18:00:00:00:00:4e
80,50:00:00:00:00:4f,18:00:00:00:00:4f
81,50:00:00:00:00:50,18:00:00:00:00:50
82,50:00:00:00:00:51,18:00:00:00:00:51
83,50:00:00:00:00:52,18:00:00:00:00:52
84,50:00:00:00:00:53,18:00:00:00:00:53
85,50:00:00:00:00:54,18:00:00:00:00:54
86,50:00:00:00:00:55,18:00:00:00:00:55
87,50:00:00:00:00:56,18:00:00:00:00:56
88,50:00:00:00:00:57,18:00:00:00:00:57
89,50:00:00:00:00:58,18:00:00:00:00:58
90,50:00:00:00:00:59,18:00:00:00:00:59
91,50:00:00:00:00:5a,18:00:00:00:00:5a
92,50:00:00:00:00:5b,18:00:00:00:00:5b
93,50:00:00:00:00:5c,18:00:00:00:00:5c
94,50:00:00:00:00:5d,18:00:00:00:00:5d
95,50:00:00:00:00:5e,18:00:00:00:00:5e
96,50:00:00:00:00:5f,18:00:00:00:00:5f
97,50:00:00:00:00:60,18:00:00:00:00:60
98,50:00:00:00:00:61,18:00:00:00:00:61
99,50:00:00:00:00:62,18:00:00:00:00:62
100,50:00:00:00:00:63,18:00:00:00:00:63
101,50:00:00:00:00:64,18:00:00:00:00:64
102,50:00:00:00:00:65,18:00:00:00:00:65
103,50:00:00:00:00:66,18:00:00:00:00:66
104,50:00:00:00:00:67,18:00:00:00:00:67
105,50:00:00:00:00:68,18:00:00:00:00:68
106,50:00:00:00:00:69,18:00:00:00:00:69
107,50:00:00:00:00:6a,18:00:00:00:00:6a
108,50:00:00:00:00:6b,18:00:00:00:00:6b
109,50:00:00:00:00:6c,18:00:00:00:00:6c
110,50:00:00:00:00:6d,18:00:00:00:00:6d
111,50:00:00:00:00:6e,18:00:00:00:00:6e
112,50:00:00:00:00:6f,18:00:00:00:00:6f
113,50:00:00:00:00:70,18:00:00:00:00:70
114,50:00:00:00:00:71,18:00:00:00:00:71
115,50:00:00:00:00:72,18:00:00:00:00:72
116,50:00:00:00:00:73,18:00:00:00:00:73
117,50:00:00:00:00:74,18:00:00:00:00:74
118,50:00:00:00:00:75,18:00:00:00:00:75
119,50:00:00:00:00:76,18:00:00:00:00:76
120,50:00:00:00:00:77,18:00:00:00:00:77
121,50:00:00:00:00:78,18:00:00:00:00:78
122,50:00:00:00:00:79,18:00:00:00:00:79
123,50:00:00:00:00:7a,18:00:00:00:00:7a
124,50:00:00:00:00:7b,18:00:00:00:00:7b
125,50:00:00:00:00:7c,18:00:00:00:00:7c
126,50:00:00:00:00:7d,18:00:00:00:00:7d
127,50:00:00:00:00:7e,18:00:00:00:00:7e
128,50:00:00:00:00:7f,18:00:00:00:00:7f
129,50:00:00:00:00:80,18:00:00:00:00:80
130,50:00:00:00:00:81,18:00:00:00:00:81
131,50:00:00:00:00:82,18:00:00:00:00:82
132,50:00:00:00:00:83,18:00:00:00:00:83
133,50:00:00:00:00:84,18:00:00:00:00:84
134,50:00:00:00:00:85,18:00:00:00:00:85
135,50:00:00:00:00:86,18:00:00:00:00:86
136,50:00:00:00:00:87,18:00:00:00:00:87
137,50:00:00:00:00:88,18:00:00:00:00:88
138,50:00:00:00:00:89,18:00:00:00:00:89
139,50:00:00:00:00:8a,18:00:00:00:00:8a
140,50:00:00:00:00:8b,18:00:00:00:00:8b
141,50:00:00:00:00:8c,18:00:00:00:00:8c
142,50:00:00:00:00:8d,18:00:00:00:00:8d
143,50:00:00:00:00:8e,18:00:00:00:00:8e
144,50:00:00:00:00:8f,18:00:00:00:00:8f
145,50:00:00:00:00:90,18:00:00:00:00:90
146,50:00:00:00:00:91,18:00:00:00:00:91
147,50:00:00:00:00:92,18:00:00:00:00:92
148,50:00:00:00:00:93,18:00:00:00:00:93
149,50:00:00:00:00:94,18:00:00:00:00:94
150,50:00:00:00:00:95,18:00:00:00:00:95
151,50:00:00:00:00:96,18:00:00:00:00:96
152,50:00:00:00:00:97,18:00:00:00:00:97
153,50:00:00:00:00:98,18:00:00:00:00:98
154,50:00:00:00:00:99,18:00:00:00:00:99
155,50:00:00:00:00:9a,18:00:00:00:00:9a
156,50:00:00:00:00:9b,18:00:00:00:00:9b
157,50:00:00:00:00:9c,18:00:00:00:00:9c
158,50:00:00:00:00:9d,18:00:00:00:00:9d
159,50:00:00:00:00:9e,18:00:00:00:00:9e
160,50:00:00:00:00:9f,18:00:00:00:00:9f
161,50:00:00:00:00:a0,18:00:00:00:00:a0
162,50:00:00:00:00:a1,18:00:00:00:00:a1
163,50:00:00:00:00:a2,18:00:00:00:00:a2
164,50:00:00:00:00:a3,18:00:00:00:00:a3
165,50:00:00:00:00:a4,18:00:00:00:00:a4
166,50:00:00:00:00:a5,18:00:00:00:00:a5
167,50:00:00:00:00:a6,18:00:00:00:00:a6
168,50:00:00:00:00:a7,18:00:00:00:00:a7
169,50:00:00:00:00:a8,18:00:00:00:00:a8
170,50:00:00:00:00:a9,18:00:00:00:00:a9
171,50:00:00:00:00:aa,18:00:00:00:00:aa
172,50:00:00:00:00:ab,18:00:00:00:00:ab
173,50:00:00:00:00:ac,18:00:00:00:00:ac
174,50:00:00:00:00:ad,18:00:00:00:00:ad
175,50:00:00:00:00:ae,18:00:00:00:00:ae
176,50:00:00:00:00:af,18:00:00:00:00:af
177,50:00:00:00:00:b0,18:00:00:00:00:b0
178,50:00:00:00:00:b1,18:00:00:00:00:b1
179,50:00:00:00:00:b2,18:00:00:00:00:b2
180,50:00:00:00:00:b3,18:00:00:00:00:b3
181,50:00:00:00:00:b4,18:00:00:00:00:b4
182,50:00:00:00:00:b5,18:00:00:00:00:b5
183,50:00:00:00:00:b6,18:00:00:00:00:b6
184,50:00:00:00:00:b7,18:00:00:00:00:b7
185,50:00:00:00:00:b8,18:00:00:00:00:b8
186,50:00:00:00:00:b9,18:00:00:00:00:b9
187,50:00:00:00:00:ba,18:00:00:00:00:ba
188,50:00:00:00:00:bb,18:00:00:00:00:bb
189,50:00:00:00:00:bc,18:00:00:00:00:bc
190,50:00:00:00:00:bd,18:00:00:00:00:bd
191,50:00:00:00:00:be,18:00:00:00:00:be
192,50:00:00:00:00:bf,18:00:00:00:00:bf
193,50:00:00:00:00:c0,18:00:00:00:00:c0
194,50:00:00:00:00:c1,18:00:00:00:00:c1
195,50:00:00:00:00:c2,18:00:00:00:00:c2
196,50:00:00:00:00:c3,18:00:00:00:00:c3
197,50:00:00:00:00:c4,18:00:00:00:00:c4
198,50:00:00:00:00:c5,18:00:00:00:00:c5
199,50:00:00:00:00:c6,18:00:00:00:00:c6
200,50:00:00:00:00:c7,18:00:00:00:00:c7
201,50:00:00:00:00:c8,18:00:00:00:00:c8
202,50:00:00:00:00:c9,18:00:00:00:00:c9
203,50:00:00:00:00:ca,18:00:00:00:00:ca
204,50:00:00:00:00:cb,18:00:00:00:00:cb
205,50:00:00:00:00:cc,18:00:00:00:00:cc
206,50:00:00:00:00:cd,18:00:00:00:00:cd
207,50:00:00:00:00:ce,18:00:00:00:00:ce
208,50:00:00:00:00:cf,18:00:00:00:00:cf
209,50:00:00:00:00:d0,18:00:00:00:00:d0
210,50:00:00:00:00:d1,18:00:00:00:00:d1
211,50:00:00:00:00:d2,18:00:00:00:00:d2
212,50:00:00:00:00:d3,18:00:00:00:00:d3
213,50:00:00:00:00:d4,18:00:00:00:00:d4
214,50:00:00:00:00:d5,18:00:00:00:00:d5
215,50:00:00:00:00:d6,18:00:00:00:00:d6
216,50:00:00:00:00:d7,18:00:00:00:00:d7
